CaseNumber,State,County,Area,Species,CollectionYear,Sex,Age
8691,North Carolina,Pamlico,Grantsboro,Raccoon,1991,F,Subadult
8801,North Carolina,Haywood,"Garner Cove, South Waynesville",Raccoon,2001,Female,Adult
8891,North Carolina,Beaufort,Hickory Point,Raccoon,1991,M,Adult
8991,North Carolina,Craven,Fairfield Harbor,Raccoon,1991,M,Adult
20282,North Carolina,Cleveland,Lawndale,Raccoon,1982,M,SUBADULT
26888,North Carolina,Graham,,Raccoon,1988,F,Adult
575,South Carolina,Charleston,Kiawah Island,Raccoon,1975,F,Adult
1308,South Carolina,Charleston,"319 E Indian, City Of Folly Beach",Raccoon,2008,Unknown,1 yr
1408,South Carolina,Charleston,"702 E Ashley, City Of Folly Beach",Raccoon,2008,Unknown,1 yr
1990,South Carolina,Anderson,,Raccoon,1990,M,Adult
2913,South Carolina,Charleston,Hanahan,Raccoon,2013,Female,Adult
3180,South Carolina,Beaufort,Hilton Head,Raccoon,1980,M,Adult
3280,South Carolina,Beaufort,Hilton Head,Raccoon,1980,M,SUBADULT
3380,South Carolina,Beaufort,Hilton Head,Raccoon,1980,M,Adult
3480,South Carolina,Beaufort,Hilton Head,Raccoon,1980,M,Adult
5091,South Carolina,Union,,Raccoon,1991,M,Adult
5895,South Carolina,Pickens,Central,Raccoon,1995,M,ADULT
6188,South Carolina,Georgetown,Murphy Island,Raccoon,1988,M,3 YR
6787,South Carolina,Richland,Congaree Natl. Monument,Raccoon,1987,M,Adult
6988,South Carolina,Georgetown,South Island,Raccoon,1988,M,SUB ADULT
7088,South Carolina,Georgetown,South Island  North End,Raccoon,1988,F,Adult
7178,South Carolina,Mccormick,,Raccoon,1978,M,Adult
7188,South Carolina,Georgetown,South Island  North End,Raccoon,1988,F,
8881,South Carolina,Berkeley,Dennis Center,Raccoon,1981,F,Adult
9287,South Carolina,Oconee,Whitewater Falls,Raccoon,1987,F,SUBADULT
9988,South Carolina,Georgetown,Cat Island,Raccoon,1988,M,Subadult
13089,South Carolina,Lexington,.5 Miles From Congaree River,Raccoon,1989,F,Subadult
13189,South Carolina,Lexington,.5 Miles From Congaree River,Raccoon,1989,M,Subadult
14384,South Carolina,Greenwood,,Raccoon,1984,F,Adult
14385,South Carolina,Greenwood,,Raccoon,1984,F,Adult
15788,South Carolina,Georgetown,South Island,Raccoon,1988,F,Subadult
15909,South Carolina,Union,"Sardis Road, Near Union",Raccoon,2009,Male,Juvenile
20308,South Carolina,Pickens,Central,Raccoon,2008,Male,Adult
21207,South Carolina,Charleston,James Island,Raccoon,2007,Female,Adult
21507,South Carolina,Charleston,James Island,Raccoon,2007,Female,Adult
22198,South Carolina,Richland,Congaree River Swamp,Raccoon,1998,Male,Adult
187,Tennessee,Dekalb,,Raccoon,1987,F,Adult
1004,Tennessee,Rutherford,Lavergne,Raccoon,2004,Female,Adult
1500,Tennessee,Davidson,Na,Raccoon,2000,Male,Juvenile
1911,Tennessee,Henderson,"3037 Mt. Ararat Road, Darden",Raccoon,2011,Both,Adult
1993,Tennessee,Williamson,Near Franlklin,Raccoon,1993,F,Adult
1995,Tennessee,Hickman,,Raccoon,1995,F,Adult
2011,Tennessee,Henderson,"3037 Mt. Ararat Road, Darden",Raccoon,2011,Male,Adult
2093,Tennessee,Williamson,Near Franlklin,Raccoon,1993,F,Adult
2795,Tennessee,Giles,Pulaski,Raccoon,1995,M,ADULT
3011,Tennessee,Lawrence,Lawrenceburg,Raccoon,2011,Male,Adult
3995,Tennessee,Hawkins,Holston Army Ammunition Plant,Raccoon,1995,F,ADULT
4499,Tennessee,Davidson,Goodletsville,Raccoon,1999,Both,Varying Ages
4712,Tennessee,Overton,Hardy'S Chapel,Raccoon,2012,Male,Unknown
4994,Tennessee,Giles,Prospect,Raccoon,1994,F,Adult
5189,Tennessee,Coffey,Arnold Engineering Development Center Wma,Raccoon,1989,M,Subadult
5484,Tennessee,Hardeman,,Raccoon,1984,F,Adult
5689,Tennessee,Giles,,Raccoon,1989,M,SUBADULT
6300,Tennessee,Franklin,Decherd,Raccoon,2000,Male,Juvenile
7289,Tennessee,Lawrence,Laurel Hill Wma,Raccoon,1989,M,Adult
7693,Tennessee,,Oak Ridge Wma,Raccoon,1993,M,Adult
7776,Tennessee,,Buffalo Springs Game Farm,Raccoon,1976,F,Adult
8004,Tennessee,Lake,Reelfoot Lake State Park  Keystone Area,Raccoon,2004,Female,Adult
8184,Tennessee,Dekalb,,Raccoon,1984,F,SUBADULT
8203,Tennessee,Giles,Bunker Hill Community,Raccoon,2003,Female,Adult
8610,Tennessee,Cheatham,Ashland City,Raccoon,2010,Male,Juvenile
8698,Tennessee,Davidson,Opryland Golf Course,Raccoon,1998,Female,Adult
8798,Tennessee,Houston,Tennessee Ridge,Raccoon,1998,Female,Adult
10584,Tennessee,Hardeman,,Raccoon,1984,M,SUBADULT
11688,Tennessee,Lake,Reelfoot Lake,Raccoon,1988,M,Adult
11788,Tennessee,Crockett,,Raccoon,1988,M,Subadult
13111,Tennessee,Overton,Standing Stone State Park,Raccoon,2011,Female,Adult
14090,Tennessee,Washington,,Raccoon,1990,NA,NA
15392,Tennessee,Cheatham,White Bluff,Raccoon,1992,M,Adult
15592,Tennessee,Davidson,Nashville,Raccoon,1991,M,Adult
15594,Tennessee,Hawkins,Holston Army Ammunition Plant,Raccoon,1994,F,Adult
15987,Tennessee,Jackson,Gainesboro,Raccoon,1987,M,Adult
18287,Tennessee,Scott,,Raccoon,1987,M,Adult
21091,Tennessee,Davidson,,Raccoon,1991,,
23410,Tennessee,Davidson,Unknown,Raccoon,2010,Unknown,Juvenile
1288,Virginia,Fairfax,Huntley Meadows Park,Raccoon,1988,M,Adult
3695,Virginia,Walton,Social Circle,Raccoon,1995,F,ADULT
7481,Virginia,York,,Raccoon,1981,M,Adult
7979,Virginia,Smyth,Near Atkins,Raccoon,1979,F,Adult
8788,Virginia,Henrico,,Raccoon,1988,M,Adult
8811,Virginia,Clarke,"Springsbury Rd., Berryville",Raccoon,2011,Male,>1 yr
8888,Virginia,Henrico,,Raccoon,1988,F,Adult
8988,Virginia,Henrico,,Raccoon,1988,M,SUBADULT
9484,Virginia,Bedford,Vinton,Raccoon,1984,M,Adult
9782,Virginia,Smyth,,Raccoon,1982,M,SUBADULT
10581,Virginia,Smyth,Grosses Creek,Raccoon,1981,F,SUBADULT
13081,Virginia,Wythe,,Raccoon,1981,F,Subadult
13181,Virginia,Wythe,,Raccoon,1981,M,Adult
15981,Virginia,Grayson,Fairwood Valley (Upper Fox Creek),Raccoon,1981,F,Adult
16081,Virginia,Wythe,Locust Hill,Raccoon,1981,M,Adult
22806,Virginia,Spotsylvania,Fredericksburg,Raccoon,2006,Female,Adult
22898,Virginia,Clarke,Shanks Property,Raccoon,1998,Female,Adult
25106,Virginia,Sportslyvania,Fredericksburg City,Raccoon,2006,Both,"Juv, Adult"
25391,Virginia,Nelson,Wintergreen Resort,Raccoon,1991,F,Subadult
1301,West Virginia,Wirt,Near Crestan,Raccoon,2001,Female,Juvenile
3088,West Virginia,Wood,Blennerhasset Island,Raccoon,1988,F,Subadult
4292,West Virginia,Mason,Mud Run,Raccoon,1992,M,Subadult
6589,West Virginia,Mercer,Princeton,Raccoon,1989,M,Adult
7383,West Virginia,Monongalia,Wanna,Raccoon,1983,,
7684,West Virginia,Ohio,Wheeling,Raccoon,1984,F,Adult
11583,West Virginia,Wood,Parkersburg,Raccoon,1983,,
11683,West Virginia,Randolph,Georgetown Road,Raccoon,1983,,
11783,West Virginia,Wood,Parkersburg,Raccoon,1983,,
11981,West Virginia,Taylor,Near Fairmont,Raccoon,1981,F,Subadult
15081,West Virginia,Monroe,,Raccoon,1981,F,Adult
15092,West Virginia,Kanawha,St. Albans City Park,Raccoon,1992,F,Adult
18004,West Virginia,Wood,Vienna,Raccoon,2004,Male,Adult
18982,West Virginia,Hancock/Brooke,,Raccoon,1982,F,Subadult
19082,West Virginia,Hancock/Brooke,,Raccoon,1982,M,Subadult
21998,West Virginia,Berkeley,1 Mi East Of Opequon,Raccoon,1998,Female,Adult
57312,West Virginia,Wood,"4613 6Th Avenue, Vienna",Raccoon,2012,Male,Unknown
22799,Louisiana,St Tammany,Na,"Raccoon, Opossum",1999,Female,Varying Ages
8487,Georgia,Clarke,,Red Fox,1987,M,Adult
16288,Georgia,White,Helen,Red Fox,1988,M,Subadult
21608,North Carolina,Burke,Morganton,Red Fox,2008,Female,Adult
801,Georgia,White,"Highway 129, Cleveland",Striped Skunk,2001,Male,Unknown
2108,Georgia,Floyd,The Campus Of Berry College,Striped Skunk,2008,Female,Adult
2589,Georgia,Morgan,Madison,Striped Skunk,1989,M,SUBADULT
5389,Georgia,Madison,Miracle Years Of Learning Day Car Center,Striped Skunk,1989,M,Subadult
18688,Georgia,Oconee,Hickory Hill Subdivision,Striped Skunk,1988,F,Subadult
1705,Kansas,Franklin,2856 John Brown Rd,Striped Skunk,2005,Female,Adult
8713,Pennsylvania,Lackawanna,"N41.438182,      W75.661007",Striped Skunk,2013,Female,Adult
10213,Pennsylvania,Lackawanna,"N41.462202,      W75.621911",Striped Skunk,2013,Female,Adult
10913,Pennsylvania,Bradford,"N41.704599,      W76.561521",Striped Skunk,2013,Female,Adult
15012,Pennsylvania,Unknown,Unknown,Striped Skunk,2012,Female,Adult
26012,Pennsylvania,Allegheny,Mckeesport/ Liberty,Striped Skunk,2012,Female,Adult
6293,Tennessee,,,Striped Skunk,1993,M,Adult
6413,Virginia,Roanoke,Roanoke,Striped Skunk,2013,Both,Adult
