County,State,"April 1, 1990 Population Estimates Base","July 1, 1990 Estimate",1991,1992,1993,1994,1995,1996,1997,1998,1999,2000
Effingham,Georgia,"25,687","25,986","26,407","27,136","28,461","29,823","31,114","32,299","33,983","35,280","36,838","37,535"
Elbert,Georgia,"18,949","18,981","19,168","19,232","19,454","19,658","19,792","20,005","20,103","20,353","20,425","20,511"
Emanuel,Georgia,"20,546","20,600","20,741","20,874","21,194","21,208","21,315","21,485","21,597","21,699","21,784","21,837"
Evans,Georgia,"8,724","8,735","8,798","8,974","9,256","9,269","9,477","9,649","9,840","10,075","10,289","10,495"
Fannin,Georgia,"15,992","16,061","16,268","16,655","16,746","17,247","17,647","18,077","18,548","19,018","19,443","19,798"
Fayette,Georgia,"62,415","63,212","65,965","68,969","71,666","74,674","77,257","80,153","83,075","86,329","89,342","91,263"
Floyd,Georgia,"81,251","81,483","82,274","83,100","84,094","84,911","86,063","87,061","87,991","88,833","89,659","90,565"
Forsyth,Georgia,"44,083","44,737","46,859","49,499","52,184","56,345","61,483","68,160","75,085","84,787","93,244","98,407"
Franklin,Georgia,"16,650","16,705","17,016","17,308","17,610","17,836","18,154","18,608","19,104","19,695","20,021","20,285"
Fulton,Georgia,"648,776","650,697","663,021","677,768","696,199","716,914","733,066","754,193","770,061","790,853","807,365","816,006"
Gilmer,Georgia,"13,368","13,492","14,169","14,742","15,450","16,141","17,196","18,310","19,862","20,995","22,357","23,456"
Glascock,Georgia,"2,357","2,356","2,322","2,308","2,367","2,389","2,420","2,476","2,512","2,546","2,562","2,556"
Glynn,Georgia,"62,496","62,691","63,229","63,608","64,533","64,657","65,106","65,565","66,170","66,808","67,426","67,568"
Gordon,Georgia,"35,067","35,233","35,818","36,494","37,494","38,193","39,048","40,029","41,230","42,269","43,354","44,104"
Grady,Georgia,"20,279","20,376","20,635","20,972","21,499","21,873","22,311","22,773","23,018","23,149","23,568","23,659"
Greene,Georgia,"11,793","11,849","12,092","12,166","12,438","12,646","12,825","13,070","13,419","13,712","14,199","14,406"
Gwinnett,Georgia,"352,910","356,979","374,266","394,210","417,581","441,474","467,292","489,382","516,032","540,954","567,569","588,448"
Habersham,Georgia,"27,622","27,799","28,422","29,141","29,949","30,553","31,467","32,320","33,187","33,984","35,196","35,902"
Hall,Georgia,"95,434","96,215","99,525","102,186","105,903","110,029","114,464","119,147","124,219","129,182","134,781","139,277"
Hancock,Georgia,"8,908","8,930","9,054","9,211","9,372","9,454","9,643","9,635","9,785","10,058","10,021","10,076"
Haralson,Georgia,"21,966","22,002","22,115","22,432","22,710","23,043","23,371","23,876","24,347","24,764","25,301","25,690"
Harris,Georgia,"17,788","17,837","17,885","18,306","19,219","20,060","20,864","21,816","22,873","23,019","23,382","23,695"
Hart,Georgia,"19,712","19,825","19,973","20,324","20,546","20,594","21,049","21,439","22,007","22,359","22,754","22,997"
Heard,Georgia,"8,628","8,688","8,861","9,028","9,274","9,424","9,692","9,947","10,167","10,292","10,737","11,012"
Henry,Georgia,"58,741","59,885","63,520","67,425","72,753","78,721","84,375","90,671","97,376","104,603","113,011","119,341"
Houston,Georgia,"89,208","89,695","91,479","93,554","95,840","98,713","100,046","102,190","105,034","107,073","109,216","110,765"
Irwin,Georgia,"8,649","8,643","8,714","8,761","8,819","8,835","9,068","9,241","9,487","9,635","9,793","9,931"
Jackson,Georgia,"30,005","30,195","30,909","31,649","32,420","33,539","34,526","35,989","37,402","38,889","40,445","41,589"
Jasper,Georgia,"8,453","8,495","8,626","8,814","9,028","9,187","9,430","9,858","10,307","10,681","11,177","11,426"
Jeff Davis,Georgia,"12,032","12,036","12,035","12,068","12,115","12,290","12,347","12,451","12,592","12,595","12,609","12,684"
Jefferson,Georgia,"17,408","17,382","17,441","17,350","17,387","17,338","17,427","17,467","17,414","17,400","17,342","17,266"
Jenkins,Georgia,"8,247","8,249","8,352","8,532","8,552","8,603","8,668","8,515","8,531","8,537","8,510","8,575"
Johnson,Georgia,"8,329","8,353","8,419","8,330","8,504","8,495","8,499","8,501","8,550","8,515","8,551","8,560"
