,April 1 Census 2010,April 1 Estimates Base 2010,July 1 2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
".Effingham County, Georgia","52,250","52,255","52,464","52,692","53,330","54,419","55,410","57,076","58,699","60,086","62,228","64,296"
".Elbert County, Georgia","20,166","20,164","20,100","19,820","19,576","19,490","19,387","19,302","19,136","19,102","19,095","19,194"
".Emanuel County, Georgia","22,598","22,596","22,607","22,492","22,732","22,631","22,482","22,471","22,406","22,533","22,607","22,646"
".Evans County, Georgia","11,000","11,002","11,021","10,980","10,678","10,794","10,811","10,690","10,648","10,741","10,702","10,654"
".Fannin County, Georgia","23,682","23,709","23,685","23,648","23,615","23,831","23,863","24,442","25,032","25,332","25,981","26,188"
".Fayette County, Georgia","106,567","106,560","106,938","107,156","107,315","108,054","109,199","110,141","111,218","112,553","113,181","114,421"
".Floyd County, Georgia","96,317","96,314","96,431","96,161","95,940","95,880","95,868","96,186","96,698","97,500","97,964","98,498"
".Forsyth County, Georgia","175,511","175,484","176,723","181,794","186,793","193,801","202,598","211,250","220,481","228,940","236,993","244,252"
".Franklin County, Georgia","22,084","22,093","22,074","21,972","21,916","22,045","22,175","22,267","22,316","22,864","23,034","23,349"
".Fulton County, Georgia","920,581","920,445","925,632","947,469","973,221","981,472","991,847","1,005,127","1,022,866","1,038,938","1,050,131","1,063,937"
".Gilmer County, Georgia","28,292","28,294","28,339","28,325","28,288","28,717","28,994","29,514","29,911","30,443","30,835","31,369"
".Glascock County, Georgia","3,082","3,086","3,079","3,103","3,107","3,060","3,008","3,020","2,978","3,032","2,977","2,971"
".Glynn County, Georgia","79,626","79,627","79,744","80,111","80,866","81,497","82,177","83,311","84,099","84,675","84,975","85,292"
".Gordon County, Georgia","55,186","55,221","55,257","55,520","55,687","55,761","55,836","56,324","56,933","57,164","57,628","57,963"
".Grady County, Georgia","25,011","25,013","25,021","25,097","25,270","25,101","25,215","25,089","24,869","24,773","24,774","24,633"
".Greene County, Georgia","15,994","15,996","15,976","16,050","16,118","16,243","16,418","16,617","16,869","17,203","17,733","18,324"
".Gwinnett County, Georgia","805,321","805,286","808,007","822,415","836,844","853,459","870,986","888,494","904,962","918,186","927,337","936,250"
".Habersham County, Georgia","43,041","43,032","43,061","43,043","43,377","43,154","43,564","43,792","44,104","44,535","45,373","45,328"
".Hall County, Georgia","179,684","179,724","180,033","182,269","184,102","186,431","189,142","192,245","196,159","198,953","201,538","204,441"
".Hancock County, Georgia","9,429","9,401","9,433","9,395","9,079","8,952","8,571","8,578","8,633","8,539","8,368","8,457"
".Haralson County, Georgia","28,780","28,775","28,758","28,465","28,310","28,335","28,487","28,702","28,830","29,248","29,561","29,792"
".Harris County, Georgia","32,024","31,994","32,149","32,307","32,570","32,532","32,737","33,155","33,633","33,943","34,560","35,236"
".Hart County, Georgia","25,213","25,210","25,240","25,417","25,513","25,456","25,362","25,410","25,471","25,710","26,071","26,205"
".Heard County, Georgia","11,834","11,829","11,841","11,731","11,652","11,564","11,623","11,556","11,579","11,751","11,871","11,923"
".Henry County, Georgia","203,922","203,777","205,039","206,911","208,005","210,012","212,957","216,414","220,896","225,182","229,728","234,561"
".Houston County, Georgia","139,900","139,819","140,651","143,775","145,827","147,527","148,575","149,323","151,622","153,202","155,523","157,863"
".Irwin County, Georgia","9,538","9,513","9,577","9,676","9,597","9,345","9,078","9,135","9,302","9,352","9,396","9,416"
".Jackson County, Georgia","60,485","60,461","60,696","60,974","60,844","61,268","62,101","63,418","65,061","67,644","70,325","72,977"
".Jasper County, Georgia","13,900","13,894","13,889","13,832","13,640","13,597","13,531","13,683","13,767","13,882","14,029","14,219"
".Jeff Davis County, Georgia","15,068","15,074","15,111","15,158","15,192","15,042","14,927","15,013","14,965","15,039","15,048","15,115"
".Jefferson County, Georgia","16,930","16,916","16,869","16,769","16,347","16,240","16,119","15,917","15,755","15,630","15,424","15,362"
".Jenkins County, Georgia","8,340","8,333","8,320","8,125","9,108","9,194","9,034","8,899","8,812","8,813","8,765","8,676"
".Johnson County, Georgia","9,980","9,974","9,986","9,999","10,004","9,900","9,803","9,708","9,660","9,737","9,706","9,643"
".Jones County, Georgia","28,669","28,668","28,646","28,740","28,624","28,576","28,652","28,441","28,574","28,466","28,680","28,735"
".Lamar County, Georgia","18,317","18,311","18,265","18,160","18,030","17,929","18,189","18,236","18,484","18,600","18,961","19,077"
".Lanier County, Georgia","10,078","10,077","10,104","10,482","10,466","10,412","10,369","10,269","10,430","10,425","10,355","10,423"
".Laurens County, Georgia","48,434","48,435","48,384","47,891","47,842","47,733","47,569","47,486","47,279","47,376","47,336","47,546"
".Lee County, Georgia","28,298","28,295","28,414","28,578","28,708","29,039","29,122","29,173","29,184","29,410","29,751","29,992"
".Liberty County, Georgia","63,453","63,585","62,765","65,179","64,412","62,341","64,091","61,611","61,473","61,619","60,606","61,435"
".Lincoln County, Georgia","7,996","7,996","7,970","7,872","7,764","7,734","7,644","7,722","7,855","7,856","7,925","7,921"
".Long County, Georgia","14,464","14,344","14,574","15,088","15,994","16,484","17,029","17,658","18,372","18,780","19,091","19,559"
".Lowndes County, Georgia","109,233","109,248","109,689","111,479","114,071","112,883","113,506","113,342","114,360","115,404","116,309","117,406"
".Lumpkin County, Georgia","29,966","29,953","30,282","30,457","30,686","30,873","31,120","31,285","31,415","32,801","32,899","33,610"
".McDuffie County, Georgia","21,875","21,867","21,803","21,614","21,630","21,499","21,524","21,462","21,456","21,511","21,532","21,312"
".McIntosh County, Georgia","14,333","14,330","14,311","14,223","13,883","14,027","14,064","14,031","14,057","14,080","14,322","14,378"
".Macon County, Georgia","14,740","14,743","14,645","14,454","14,301","13,976","13,819","13,688","13,478","13,254","13,160","12,947"
".Madison County, Georgia","28,120","28,167","28,212","28,174","28,070","28,202","28,362","28,419","28,856","29,295","29,642","29,880"
".Marion County, Georgia","8,742","8,738","8,741","8,701","8,672","8,580","8,632","8,558","8,468","8,403","8,373","8,359"
".Meriwether County, Georgia","21,992","21,978","21,818","21,598","21,335","21,217","21,208","21,173","21,074","21,021","21,094","21,167"
".Miller County, Georgia","6,125","6,127","6,133","6,071","6,004","5,899","5,944","5,848","5,874","5,813","5,684","5,718"
".Mitchell County, Georgia","23,498","23,501","23,502","23,400","23,086","22,992","22,715","22,449","22,455","22,317","22,135","21,863"
".Monroe County, Georgia","26,424","26,167","26,179","26,344","26,373","26,619","26,667","26,708","26,905","27,163","27,503","27,578"
".Montgomery County, Georgia","9,123","9,181","9,144","9,030","8,887","8,957","8,982","8,942","8,985","9,024","9,168","9,172"
".Morgan County, Georgia","17,868","17,871","17,901","17,907","17,809","17,682","17,896","17,948","18,107","18,373","18,831","19,276"
".Murray County, Georgia","39,628","39,628","39,533","39,365","39,311","39,178","39,215","39,430","39,347","39,803","39,943","40,096"
".Muscogee County, Georgia","189,885","190,570","191,101","195,271","198,965","203,225","200,563","198,702","196,219","193,836","194,169","195,769"
".Newton County, Georgia","99,958","99,967","100,133","100,444","100,956","102,040","103,441","104,884","106,499","107,846","109,421","111,744"
".Oconee County, Georgia","32,808","32,831","32,925","33,264","33,514","34,077","35,072","35,853","36,929","38,122","39,478","40,280"
".Oglethorpe County, Georgia","14,899","14,881","14,899","14,708","14,509","14,423","14,541","14,732","14,712","14,874","15,080","15,259"
".Paulding County, Georgia","142,324","142,397","142,837","143,606","144,738","146,753","148,532","151,649","155,246","159,509","164,053","168,667"
".Peach County, Georgia","27,695","27,807","27,857","27,786","27,765","27,162","27,142","26,970","26,885","26,961","27,363","27,546"
".Pickens County, Georgia","29,431","29,404","29,436","29,390","29,260","29,387","29,807","30,136","30,652","31,541","32,014","32,591"
".Pierce County, Georgia","18,758","18,760","18,815","18,774","18,905","19,017","19,010","19,094","19,104","19,197","19,388","19,465"
