GEO.id,GEO.id2,GEO.display-label,GCT_STUB.target-geo-id,GCT_STUB.target-geo-id2,GCT_STUB.display-label,GCT_STUB.display-label,HD01,HD02,SUBHD0301,SUBHD0302,SUBHD0303,SUBHD0401,SUBHD0402
Id,Id2,Geography,Target Geo Id,Target Geo Id2,Geographic area,Geographic area,Population,Housing units,Area in square miles - Total area,Area in square miles - Water area,Area in square miles - Land area,Density per square mile of land area - Population,Density per square mile of land area - Housing units
0100000US,,United States,0500000US13301,13301,United States - Georgia - Warren County,Warren County,5834,2985,286.69,2.39,284.30,20.5,10.5
0100000US,,United States,0500000US13303,13303,United States - Georgia - Washington County,Washington County,21187,9047,684.36,5.90,678.45,31.2,13.3
0100000US,,United States,0500000US13305,13305,United States - Georgia - Wayne County,Wayne County,30099,12199,648.80,7.02,641.78,46.9,19.0
0100000US,,United States,0500000US13307,13307,United States - Georgia - Webster County,Webster County,2799,1523,210.26,1.15,209.12,13.4,7.3
0100000US,,United States,0500000US13309,13309,United States - Georgia - Wheeler County,Wheeler County,7421,2625,300.27,4.78,295.48,25.1,8.9
0100000US,,United States,0500000US13311,13311,United States - Georgia - White County,White County,27144,16062,242.21,1.52,240.69,112.8,66.7
0100000US,,United States,0500000US13313,13313,United States - Georgia - Whitfield County,Whitfield County,102599,39899,291.05,0.59,290.46,353.2,137.4
0100000US,,United States,0500000US13315,13315,United States - Georgia - Wilcox County,Wilcox County,9255,3510,382.12,4.42,377.70,24.5,9.3
0100000US,,United States,0500000US13317,13317,United States - Georgia - Wilkes County,Wilkes County,10593,5158,474.09,4.60,469.49,22.6,11.0
0100000US,,United States,0500000US13319,13319,United States - Georgia - Wilkinson County,Wilkinson County,9563,4487,451.95,4.64,447.31,21.4,10.0
0100000US,,United States,0500000US13321,13321,United States - Georgia - Worth County,Worth County,21679,9251,574.76,4.05,570.70,38.0,16.2
